brand,model,veh_type,purchase_price_eur,det_5yr_tco,ml_pred_5yr_tco
MERCEDES-BENZ,S 580 E,R2S,30000,43775.0,18760.0
MERCEDES-BENZ,S 580 E,R2S,30000,43775.0,18760.0
MERCEDES-BENZ,S 580 E,R2S,30000,43775.0,18760.0
MERCEDES-BENZ,S 580 E,R2S,30000,43775.0,18890.569666666666
MERCEDES-BENZ,A 250 E,F2A,30000,43775.0,18760.0
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,43775.0,18760.0
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,43775.0,18760.0
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,43775.0,18760.0
BMW,X5 xDrive45e,G5X,30000,43775.0,18760.0
BMW,X5 xDrive45e,G5X,30000,43775.0,18760.0
