v_id,constructor,veh_type,brand,veh_model,energy,power_kw,el_consumpt_whkm,year,fuel_consumption,electric_range_(km),purchase_price_eur,5yr_energy_cost_eur,5yr_maintenance_cost_eur,5yr_depreciation_loss_eur,battery_replacement_cost_eur,5yr_tco_eur
1,VW-SAIC,5N,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
2,VW-SAIC,7N,"VOLKSWAGEN, VW",SHARAN,petrol,110,0,2021,9,0,30000,9720.0,2500,10500.0,0,52720.0
3,VW-SAIC,A1,"VOLKSWAGEN, VW",T-ROC,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
4,VW-SAIC,C1,"VOLKSWAGEN, VW",T-CROSS,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
5,VW-SAIC,3H,"VOLKSWAGEN, VW",ARTEON,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
6,VW-SAIC,CD,"VOLKSWAGEN, VW",GOLF,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
7,VW-SAIC,AW,"VOLKSWAGEN, VW",POLO,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
8,VW-SAIC,3C,"VOLKSWAGEN, VW",PASSAT,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
9,VW-SAIC,1T,"VOLKSWAGEN, VW",TOURAN,petrol,110,0,2021,6,0,30000,6480.0,2500,10500.0,0,49480.0
10,VW-SAIC,2K,"VOLKSWAGEN, VW",CADDY,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
11,VW-SAIC,7HC,"VOLKSWAGEN, VW",KOMBI,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
12,VW-SAIC,7HC,"VOLKSWAGEN, VW",MULTIVAN,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
13,VW-SAIC,7HC,"VOLKSWAGEN, VW",CALIFORNIA,diesel,110,0,2021,9,0,35000,9720.0,2500,12250.0,0,59470.0
14,VW-SAIC,7HC,"VOLKSWAGEN, VW",CALIFORNIA BEACH,diesel,110,0,2021,8,0,35000,8640.000000000002,2500,12250.0,0,58390.0
15,VW-SAIC,F3,AUDI,Q3 SPORTBACK,diesel,110,0,2021,7,0,35000,7560.000000000002,2500,12250.0,0,57310.0
16,VW-SAIC,F3,AUDI,Q3,diesel,110,0,2021,7,0,35000,7560.000000000002,2500,12250.0,0,57310.0
17,VW-SAIC,GY,AUDI,A3 SPORTBACK,diesel,110,0,2021,5,0,35000,5400.000000000001,2500,12250.0,0,55150.0
18,VW-SAIC,5FP,SEAT,ATECA,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
19,VW-SAIC,7N,SEAT,ALHAMBRA,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
20,VW-SAIC,KL,SEAT,LEON SPORTSTOURER,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
21,VW-SAIC,KL,SEAT,LEON,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
22,VW-SAIC,GA,AUDI,Q2,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
23,VW-SAIC,GY,AUDI,A3 LIMOUSINE,diesel,110,0,2021,5,0,35000,5400.000000000001,2500,12250.0,0,55150.0
24,VW-SAIC,5F,SEAT,LEON SPORTOURER ST,diesel,110,0,2021,6,0,35000,6480.0,2500,12250.0,0,56230.0
25,VW-SAIC,NX,SKODA,OCTAVIA,diesel,110,0,2021,4,0,35000,4320.000000000001,2500,12250.0,0,54070.0
26,VW-SAIC,NX,SKODA,OCTAVIA SCOUT,diesel,110,0,2021,5,0,35000,5400.000000000001,2500,12250.0,0,55150.0
27,VW-SAIC,NS,SKODA,KODIAQ,diesel,110,0,2021,5,0,35000,5400.000000000001,2500,12250.0,0,55150.0
