V_ID,Constructor,Veh_type,Version,Brand,Veh_Model,Energy,Power_KW,El_Consumpt_whkm,year,Fuel consumption,Electric range (km),purchase_price_eur,5yr_energy_cost_eur,5yr_maintenance_cost_eur,5yr_depreciation_loss_eur,battery_replacement_cost_eur,5yr_TCO_eur
1,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
2,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
3,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
4,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
5,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1BSACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
6,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
7,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
8,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
9,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
10,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
11,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
12,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
13,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
14,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
15,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
16,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
17,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
18,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
19,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
20,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
21,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
22,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
23,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
24,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBCM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
25,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
26,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSBCM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
27,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
28,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
29,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
30,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSBCM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
31,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASABM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
32,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASABM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
33,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
34,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
35,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0.0,35000,6480.0,2500,12250.0,0,56230.0
