brand,model,veh_type,energy,power_kw,el_consumpt_whkm,fuel_consumption,electric_range_(km),purchase_price_eur,det_5yr_tco,ml_pred_5yr_tco
HYUNDAI,IONIQ,AE,petrol,77,0,4,0,30000,45350.0,47233.6
TOYOTA,TOYOTA YARIS CROSS,XPB1F(M),petrol,68,0,4,0,30000,45350.0,47233.6
OPEL,CROSSLAND X,P7 MONOCAB C,petrol,96,0,5,0,30000,45875.0,48400.0
LEXUS,LEXUS CT200H,A10(A),petrol,73,0,5,0,30000,45875.0,48400.0
SUZUKI,SWIFT,AZ,petrol,95,0,5,0,30000,45875.0,48400.0
TOYOTA,TOYOTA YARIS,"XPA1F(EU,M)",petrol,92,0,5,0,30000,45875.0,48400.0
PEUGEOT,3008,M,petrol,96,0,5,0,30000,45875.0,48400.0
CITROEN,C1,P,petrol,53,0,5,0,30000,45875.0,48400.0
FIAT,FIAT 500,312,petrol,52,0,5,0,30000,45875.0,48400.0
TOYOTA,TOYOTA PRIUS,"XW5(EU,M)",petrol,72,0,5,0,30000,45875.0,48400.0
