brand,model,veh_type,purchase_price_eur,det_5yr_tco,ml_pred_5yr_tco
SMART,EQ FORTWO COUPE,451,45000,63500.0,36594.21200000003
SMART,EQ FORTWO COUPE,451,45000,63500.0,37070.16499999993
SMART,EQ FORTWO COUPE,451,45000,63500.0,36421.990999999965
JAGUAR,JAGUAR I-PACE,DH,45000,63500.0,38581.21400000005
JAGUAR,JAGUAR I-PACE,DH,45000,63500.0,38579.79800000004
RENAULT,ZOE,AG,45000,63500.0,35879.13199999992
RENAULT,ZOE,AG,45000,63500.0,36274.54999999991
RENAULT,ZOE,AG,45000,63500.0,35518.22899999999
RENAULT,ZOE,AG,45000,63500.0,37041.13700000001
RENAULT,ZOE,AG,45000,63500.0,36835.108999999975
