V_ID,Constructor,Veh_type,Version,Brand,Veh_Model,Energy,Power_KW,El_Consumpt_whkm,year,Fuel consumption,Electric range (km),purchase_price_eur
1,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
2,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
3,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
4,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
5,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1BSACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
6,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
7,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
8,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
9,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
10,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
11,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
12,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
13,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
14,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
15,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
16,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
17,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
18,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
19,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
20,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSB0M1,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
21,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
22,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
23,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASACM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
24,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBCM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
25,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
26,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSBCM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
27,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBBM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
28,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSB0M10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
29,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
30,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSBCM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
31,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASABM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
32,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASABM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
33,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
34,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
35,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1CSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
36,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSB0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
37,VW-SAIC,5N,FD7FD7GC009L5N5NVR24BI1ASA0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
38,VW-SAIC,5N,FD7FD7GC009L5T4NVR24BI1BSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
39,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
40,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
41,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1ASACM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
42,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSBCM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
43,VW-SAIC,5N,FD7FD7GC009L5T5NVR24BI1BSBCM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
44,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSBCM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
45,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSB0M1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
46,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
47,VW-SAIC,5N,FD7FD7GC009L5N3NVR24BI1ASABM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
48,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1BSABM10,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
49,VW-SAIC,5N,FD7FD7GC009L5N4NVR24BI1CSBBM1G,"VOLKSWAGEN, VW",TIGUAN,diesel,110,0,2021,6,0,35000
